equipo_slug,cpath,pID,image_url,fichero
bundesliga-dortmund,,27185,,futbolmodaes_img/bundesliga-dortmund/27185.jpg
bundesliga-dortmund,,27373,,futbolmodaes_img/bundesliga-dortmund/27373.jpg
bundesliga-dortmund,,28268,,futbolmodaes_img/bundesliga-dortmund/28268.jpg
bundesliga-dortmund,,28640,,futbolmodaes_img/bundesliga-dortmund/28640.jpg
bundesliga-dortmund,,28641,,futbolmodaes_img/bundesliga-dortmund/28641.jpg
bundesliga-dortmund,,28642,,futbolmodaes_img/bundesliga-dortmund/28642.jpg
bundesliga-dortmund,,28643,,futbolmodaes_img/bundesliga-dortmund/28643.jpg
bundesliga-dortmund,,28644,,futbolmodaes_img/bundesliga-dortmund/28644.jpg
bundesliga-dortmund,,28645,,futbolmodaes_img/bundesliga-dortmund/28645.jpg
bundesliga-dortmund,,28646,,futbolmodaes_img/bundesliga-dortmund/28646.jpg
bundesliga-dortmund,,28647,,futbolmodaes_img/bundesliga-dortmund/28647.jpg
bundesliga-dortmund,,28649,,futbolmodaes_img/bundesliga-dortmund/28649.jpg
bundesliga-dortmund,,28650,,futbolmodaes_img/bundesliga-dortmund/28650.jpg
bundesliga-dortmund,,28651,,futbolmodaes_img/bundesliga-dortmund/28651.jpg
bundesliga-dortmund,,28652,,futbolmodaes_img/bundesliga-dortmund/28652.jpg
bundesliga-dortmund,,28653,,futbolmodaes_img/bundesliga-dortmund/28653.jpg
bundesliga-dortmund,,28654,,futbolmodaes_img/bundesliga-dortmund/28654.jpg
bundesliga-dortmund,,28655,,futbolmodaes_img/bundesliga-dortmund/28655.jpg
bundesliga-dortmund,,28656,,futbolmodaes_img/bundesliga-dortmund/28656.jpg
bundesliga-dortmund,,28657,,futbolmodaes_img/bundesliga-dortmund/28657.jpg
bundesliga-dortmund,,28658,,futbolmodaes_img/bundesliga-dortmund/28658.jpg
bundesliga-dortmund,,28659,,futbolmodaes_img/bundesliga-dortmund/28659.jpg
bundesliga-dortmund,,28660,,futbolmodaes_img/bundesliga-dortmund/28660.jpg
bundesliga-dortmund,,28661,,futbolmodaes_img/bundesliga-dortmund/28661.jpg
bundesliga-dortmund,,28662,,futbolmodaes_img/bundesliga-dortmund/28662.jpg
bundesliga-dortmund,,28663,,futbolmodaes_img/bundesliga-dortmund/28663.jpg
bundesliga-dortmund,,29157,,futbolmodaes_img/bundesliga-dortmund/29157.jpg
bundesliga-dortmund,,29158,,futbolmodaes_img/bundesliga-dortmund/29158.jpg
bundesliga-dortmund,,29159,,futbolmodaes_img/bundesliga-dortmund/29159.jpg
bundesliga-dortmund,,29160,,futbolmodaes_img/bundesliga-dortmund/29160.jpg
bundesliga-dortmund,,29161,,futbolmodaes_img/bundesliga-dortmund/29161.jpg
bundesliga-dortmund,,29162,,futbolmodaes_img/bundesliga-dortmund/29162.jpg
bundesliga-dortmund,,29163,,futbolmodaes_img/bundesliga-dortmund/29163.jpg
bundesliga-dortmund,,29164,,futbolmodaes_img/bundesliga-dortmund/29164.jpg
bundesliga-dortmund,,29165,,futbolmodaes_img/bundesliga-dortmund/29165.jpg
bundesliga-dortmund,,29166,,futbolmodaes_img/bundesliga-dortmund/29166.jpg
bundesliga-dortmund,,29167,,futbolmodaes_img/bundesliga-dortmund/29167.jpg
bundesliga-dortmund,,29168,,futbolmodaes_img/bundesliga-dortmund/29168.jpg
bundesliga-dortmund,,29169,,futbolmodaes_img/bundesliga-dortmund/29169.jpg
bundesliga-dortmund,,29170,,futbolmodaes_img/bundesliga-dortmund/29170.jpg
bundesliga-dortmund,,29171,,futbolmodaes_img/bundesliga-dortmund/29171.jpg
bundesliga-dortmund,,29172,,futbolmodaes_img/bundesliga-dortmund/29172.jpg
bundesliga-dortmund,,29173,,futbolmodaes_img/bundesliga-dortmund/29173.jpg
bundesliga-dortmund,,29174,,futbolmodaes_img/bundesliga-dortmund/29174.jpg
bundesliga-dortmund,,29175,,futbolmodaes_img/bundesliga-dortmund/29175.jpg
bundesliga-dortmund,,29176,,futbolmodaes_img/bundesliga-dortmund/29176.jpg
bundesliga-dortmund,,29177,,futbolmodaes_img/bundesliga-dortmund/29177.jpg
bundesliga-dortmund,,29178,,futbolmodaes_img/bundesliga-dortmund/29178.jpg
bundesliga-dortmund,,29179,,futbolmodaes_img/bundesliga-dortmund/29179.jpg
bundesliga-dortmund,,29180,,futbolmodaes_img/bundesliga-dortmund/29180.jpg
bundesliga-dortmund,,29181,,futbolmodaes_img/bundesliga-dortmund/29181.jpg
bundesliga-dortmund,,29182,,futbolmodaes_img/bundesliga-dortmund/29182.jpg
bundesliga-dortmund,,29183,,futbolmodaes_img/bundesliga-dortmund/29183.jpg
bundesliga-dortmund,,29184,,futbolmodaes_img/bundesliga-dortmund/29184.jpg
bundesliga-dortmund,,29185,,futbolmodaes_img/bundesliga-dortmund/29185.jpg
bundesliga-dortmund,,29186,,futbolmodaes_img/bundesliga-dortmund/29186.jpg
bundesliga-dortmund,,29187,,futbolmodaes_img/bundesliga-dortmund/29187.jpg
bundesliga-dortmund,,29188,,futbolmodaes_img/bundesliga-dortmund/29188.jpg
bundesliga-dortmund,,29189,,futbolmodaes_img/bundesliga-dortmund/29189.jpg
bundesliga-dortmund,,29190,,futbolmodaes_img/bundesliga-dortmund/29190.jpg
bundesliga-dortmund,,29191,,futbolmodaes_img/bundesliga-dortmund/29191.jpg
bundesliga-dortmund,,29192,,futbolmodaes_img/bundesliga-dortmund/29192.jpg
bundesliga-dortmund,,29193,,futbolmodaes_img/bundesliga-dortmund/29193.jpg
bundesliga-dortmund,,29194,,futbolmodaes_img/bundesliga-dortmund/29194.jpg
bundesliga-dortmund,,29195,,futbolmodaes_img/bundesliga-dortmund/29195.jpg
bundesliga-dortmund,,29196,,futbolmodaes_img/bundesliga-dortmund/29196.jpg
bundesliga-dortmund,,29197,,futbolmodaes_img/bundesliga-dortmund/29197.jpg
bundesliga-dortmund,,29198,,futbolmodaes_img/bundesliga-dortmund/29198.jpg
bundesliga-dortmund,,29199,,futbolmodaes_img/bundesliga-dortmund/29199.jpg
bundesliga-dortmund,,29200,,futbolmodaes_img/bundesliga-dortmund/29200.jpg
bundesliga-dortmund,,29201,,futbolmodaes_img/bundesliga-dortmund/29201.jpg
bundesliga-dortmund,,29202,,futbolmodaes_img/bundesliga-dortmund/29202.jpg
bundesliga-dortmund,,29203,,futbolmodaes_img/bundesliga-dortmund/29203.jpg
bundesliga-dortmund,,29204,,futbolmodaes_img/bundesliga-dortmund/29204.jpg
bundesliga-dortmund,,29205,,futbolmodaes_img/bundesliga-dortmund/29205.jpg
bundesliga-dortmund,,29206,,futbolmodaes_img/bundesliga-dortmund/29206.jpg
bundesliga-dortmund,,29430,,futbolmodaes_img/bundesliga-dortmund/29430.jpg
bundesliga-dortmund,,29446,,futbolmodaes_img/bundesliga-dortmund/29446.jpg
bundesliga-dortmund,,29907,,futbolmodaes_img/bundesliga-dortmund/29907.jpg
bundesliga-dortmund,,29908,,futbolmodaes_img/bundesliga-dortmund/29908.jpg
bundesliga-dortmund,,29909,,futbolmodaes_img/bundesliga-dortmund/29909.jpg
bundesliga-dortmund,,29910,,futbolmodaes_img/bundesliga-dortmund/29910.jpg
bundesliga-dortmund,,29911,,futbolmodaes_img/bundesliga-dortmund/29911.jpg
bundesliga-dortmund,,29912,,futbolmodaes_img/bundesliga-dortmund/29912.jpg
bundesliga-dortmund,,29913,,futbolmodaes_img/bundesliga-dortmund/29913.jpg
bundesliga-dortmund,,29914,,futbolmodaes_img/bundesliga-dortmund/29914.jpg
bundesliga-dortmund,,29915,,futbolmodaes_img/bundesliga-dortmund/29915.jpg
bundesliga-dortmund,,29916,,futbolmodaes_img/bundesliga-dortmund/29916.jpg
bundesliga-dortmund,,29917,,futbolmodaes_img/bundesliga-dortmund/29917.jpg
bundesliga-dortmund,,29918,,futbolmodaes_img/bundesliga-dortmund/29918.jpg
bundesliga-dortmund,,29919,,futbolmodaes_img/bundesliga-dortmund/29919.jpg
bundesliga-dortmund,,29920,,futbolmodaes_img/bundesliga-dortmund/29920.jpg
bundesliga-dortmund,,29921,,futbolmodaes_img/bundesliga-dortmund/29921.jpg
bundesliga-dortmund,,29922,,futbolmodaes_img/bundesliga-dortmund/29922.jpg
bundesliga-dortmund,,29923,,futbolmodaes_img/bundesliga-dortmund/29923.jpg
bundesliga-dortmund,,29924,,futbolmodaes_img/bundesliga-dortmund/29924.jpg
bundesliga-dortmund,,29925,,futbolmodaes_img/bundesliga-dortmund/29925.jpg
bundesliga-dortmund,,29926,,futbolmodaes_img/bundesliga-dortmund/29926.jpg
bundesliga-dortmund,,29927,,futbolmodaes_img/bundesliga-dortmund/29927.jpg
bundesliga-dortmund,,29928,,futbolmodaes_img/bundesliga-dortmund/29928.jpg
bundesliga-dortmund,,29929,,futbolmodaes_img/bundesliga-dortmund/29929.jpg
bundesliga-dortmund,,29930,,futbolmodaes_img/bundesliga-dortmund/29930.jpg
bundesliga-dortmund,,29931,,futbolmodaes_img/bundesliga-dortmund/29931.jpg
bundesliga-dortmund,,29932,,futbolmodaes_img/bundesliga-dortmund/29932.jpg
bundesliga-frankfurt,,21873,,futbolmodaes_img/bundesliga-frankfurt/21873.jpg
bundesliga-frankfurt,,29296,,futbolmodaes_img/bundesliga-frankfurt/29296.jpg
bundesliga-frankfurt,,29297,,futbolmodaes_img/bundesliga-frankfurt/29297.jpg
bundesliga-hamburgo,,20394,,futbolmodaes_img/bundesliga-hamburgo/20394.jpg
bundesliga-heidenheim,,28391,,futbolmodaes_img/bundesliga-heidenheim/28391.jpg
bundesliga-heidenheim,,28394,,futbolmodaes_img/bundesliga-heidenheim/28394.jpg
bundesliga-leverkusen,,18491,,futbolmodaes_img/bundesliga-leverkusen/18491.jpg
bundesliga-leverkusen,,25100,,futbolmodaes_img/bundesliga-leverkusen/25100.jpg
bundesliga-nurnberg,,27507,,futbolmodaes_img/bundesliga-nurnberg/27507.jpg
bundesliga-rb-leipzig,,18741,,futbolmodaes_img/bundesliga-rb-leipzig/18741.jpg
bundesliga-rb-leipzig,,18752,,futbolmodaes_img/bundesliga-rb-leipzig/18752.jpg
